,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,Rank,Player Name,Pos rank,Team,Bye,Pass yards,Pass TD,Int,Rush Yards,Rush TD,Receptions,Receicing Yards,Receiving TD,Fantasy Points,Value
,,,,,,,,,,,,,,,,,
,,,1,Christian McCaffrey,RB1,SF,9,0,0,0,919,7.4,71,566,3.1,246.9,165.9
,,,2,Austin Ekeler,RB2,LAC,5,0,0,0,684,6.3,78,634,4.7,236.9,155.9
,,,3,Justin Jefferson,WR1,MIN,13,0,0,0,18,0.4,104,1434,8.7,251.6,148.2
,,,4,Saquon Barkley,RB3,NYG,13,0,0,0,1102,8.2,49,344,1.3,226.1,145.1
,,,5,Jonathan Taylor,RB4,IND,11,0,0,0,1342,8.4,29,207,1,225.9,144.9
,,,6,Ja'Marr Chase,WR2,CIN,7,0,0,0,14,0.1,101,1347,9.9,246.5,143.1
,,,7,Tyreek Hill,WR3,MIA,10,0,0,0,33,0.6,100,1381,8.6,246.4,143
,,,8,Bijan Robinson,RB5,ATL,11,0,0,0,1098,8.2,38,331,1.8,221.9,140.9
,,,9,Nick Chubb,RB6,CLE,5,0,0,0,1232,9.5,26,222,1,221.5,140.5
,,,10,Josh Jacobs,RB7,LV,13,0,0,0,1177,9.4,35,254,0.7,221,140
,,,11,Cooper Kupp,WR4,LAR,10,0,0,0,41,0.4,108,1285,8.9,242.5,139.1
,,,12,Tony Pollard,RB8,DAL,7,0,0,0,983,8.1,44,358,2,216.7,135.7
,,,13,Travis Kelce,TE1,KC,10,0,0,0,8,0.4,95,1180,9.9,227.9,126.8
,,,14,Stefon Diggs,WR5,BUF,13,0,0,0,0,0,101,1282,8.5,229.6,126.2
,,,15,Breece Hall,RB9,NYJ,7,0,0,0,948,6.8,45,368,2,206.8,125.8
,,,16,Derrick Henry,RB10,TEN,7,0,0,0,1228,8.8,21,181,0.4,206.7,125.7
,,,17,Rhamondre Stevenson,RB11,NE,11,0,0,0,961,8,44,308,0.8,201.6,120.6
,,,18,Josh Allen,QB1,BUF,13,4288,32.4,13.4,623,5.8,0,5,0.1,385.9,120
,,,19,CeeDee Lamb,WR6,DAL,7,0,0,0,47,0.4,96,1226,7.2,220.7,117.3
,,,20,Garrett Wilson,WR7,NYJ,7,0,0,0,15,0.1,89,1187,9,219.3,115.9
,,,21,A.J. Brown,WR8,PHI,10,0,0,0,10,0.1,86,1211,8.1,214.2,110.8
,,,22,Amon-Ra St. Brown,WR9,DET,9,0,0,0,38,0.3,101,1165,6.9,213.9,110.5
,,,23,Patrick Mahomes,QB2,KC,10,4716,36.2,11,315,3,0,0,0,372,108.9
,,,24,Travis Etienne Jr.,RB12,JAC,9,0,0,0,868,6.6,43,336,1.3,189.1,108.1
,,,25,Jalen Hurts,QB3,PHI,10,3956,24,8.9,695,8.8,0,0,0,367.6,105.4
,,,26,Joe Burrow,QB4,CIN,7,4731,35.5,11.7,251,3.4,0,0,0,365,103.3
,,,27,Tee Higgins,WR10,CIN,7,0,0,0,12,0.1,82,1086,8.8,204.1,100.7
,,,28,Joe Mixon,RB13,CIN,7,0,0,0,783,7,41,305,1.6,181.1,100.1
,,,29,Najee Harris,RB14,PIT,6,0,0,0,977,7.2,26,180,1,178,97
,,,30,Jahmyr Gibbs,RB15,DET,9,0,0,0,721,5.6,46,351,2.2,177.2,96.2
,,,31,Davante Adams,WR11,LV,13,0,0,0,4,0,83,1089,7.9,198.2,94.8
,,,32,Chris Olave,WR12,NO,11,0,0,0,8,0,87,1147,6.5,198,94.6
,,,33,Kenneth Walker III,RB16,SEA,5,0,0,0,943,6.7,27,192,0.3,168.9,87.9
,,,34,Miles Sanders,RB17,CAR,7,0,0,0,946,6.2,25,180,0.7,166.5,85.5
,,,35,DK Metcalf,WR13,SEA,5,0,0,0,10,0.1,81,987,7.3,184.7,81.3
,,,36,Jaylen Waddle,WR14,MIA,10,0,0,0,14,0.1,84,1022,6.3,184.2,80.8
,,,37,David Montgomery,RB18,DET,9,0,0,0,838,8,20,153,0.7,161.5,80.5
,,,38,Aaron Jones,RB19,GB,6,0,0,0,726,4.8,38,306,1.5,160.2,79.2
,,,39,Mark Andrews,TE2,BAL,13,0,0,0,11,0,75,899,7.2,171.6,76.2
,,,39,Cam Akers,RB20,LAR,10,0,0,0,849,6.5,24,172,0.7,157.2,76.2
,,,41,Christian Watson,WR15,GB,6,0,0,0,15,0.2,80,1006,5.9,178.7,75.3
,,,42,Deebo Samuel,WR16,SF,9,0,0,0,220,2.9,60,830,4.3,178.4,75
,,,43,Justin Fields,QB5,CHI,13,3239,21.4,12.6,879,6.4,0,0,0,328.9,74.4
,,,44,J.K. Dobbins,RB21,BAL,13,0,0,0,960,5.8,15,102,1,154.5,73.5
,,,45,DJ Moore,WR17,CHI,13,0,0,0,24,0.2,74,988,6.2,176.7,73.3
